Symbol,Name,Sector,Industry,Full Time Employees,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
ENPH,"Enphase Energy, Inc.",Technology,Solar,3157.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,14000.0,25.3,12.8,6.6,5.8,Moderate Controversy Level,2.0,50.0,Medium
DPZ,Domino's Pizza Inc.,Consumer Cyclical,Restaurants,6500.0,29.2,10.6,6.3,12.2,Moderate Controversy Level,2.0,66.0,Medium
DAY,"Dayforce, Inc.",Technology,Software - Application,9084.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
DVA,Davita Inc.,Healthcare,Medical Care Facilities,70000.0,22.6,0.1,8.4,14.1,Moderate Controversy Level,2.0,38.0,Medium
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,187384.0,27.5,7.9,4.6,15.0,Moderate Controversy Level,2.0,59.0,Medium
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,14100.0,18.8,3.2,8.7,6.8,Moderate Controversy Level,2.0,23.0,Low
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,18000.0,26.0,3.6,7.9,14.5,Moderate Controversy Level,2.0,53.0,Medium
ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,9750.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,35000.0,20.1,4.5,4.1,11.4,Moderate Controversy Level,2.0,28.0,Medium
XYL,Xylem Inc,Industrials,Specialty Industrial Machinery,23000.0,18.1,4.3,5.2,8.7,Low Controversy Level,1.0,21.0,Low
XEL,"Xcel Energy, Inc.",Utilities,Utilities - Regulated Electric,11311.0,26.5,12.7,4.5,9.3,Moderate Controversy Level,2.0,55.0,Medium
WYNN,Wynn Resorts Ltd,Consumer Cyclical,Resorts & Casinos,27800.0,25.7,3.4,10.6,11.8,Moderate Controversy Level,2.0,52.0,Medium
WTW,Willis Towers Watson Public Limited Companys,Financial Services,Insurance Brokers,48000.0,18.7,0.1,10.8,7.8,Moderate Controversy Level,2.0,23.0,Low
